web-scraper-order,web-scraper-start-url,movies,movies-href,title,summary,rating
1543444943-142,https://www.imdb.com/name/nm0000115/,Lord of War,https://www.imdb.com/title/tt0399295/?ref_=nm_flmg_act_54,Lord of War (2005),An arms dealer confronts the morality of his work as he is being chased by an Interpol Agent.,7.6
1543445060-177,https://www.imdb.com/name/nm0000115/,Army of One,https://www.imdb.com/title/tt4382824/?ref_=nm_flmg_act_19,Army of One (2016),"After a personal visit by God himself, the eccentric construction worker Gary Faulkner takes the decision to embark on an adventure in the badlands of Pakistan to bring Al-Qaeda's leader Osama Bin Laden to justice.",5.0
1543445102-195,https://www.imdb.com/name/nm0000115/,Prisoners of the Ghostland,https://www.imdb.com/title/tt6372694/?ref_=nm_flmg_act_1,Prisoners of the Ghostland,A notorious criminal must must break an evil curse in order to rescue an abducted girl who has mysteriously disappeared.,null
1543445082-186,https://www.imdb.com/name/nm0000115/,Teen Titans Go! To the Movies,https://www.imdb.com/title/tt7424200/?ref_=nm_flmg_act_10,Teen Titans Go! To the Movies (2018),A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,6.8
1543444987-154,https://www.imdb.com/name/nm0000115/,Bad Lieutenant: Port of Call New Orleans,https://www.imdb.com/title/tt1095217/?ref_=nm_flmg_act_42,Bad Lieutenant: Port of Call New Orleans (2009),Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,6.6
1543444997-157,https://www.imdb.com/name/nm0000115/,The Sorcerer's Apprentice,https://www.imdb.com/title/tt0963966/?ref_=nm_flmg_act_39,The Sorcerer's Apprentice (2010),Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fée.,6.1
1543445053-174,https://www.imdb.com/name/nm0000115/,Dog Eat Dog,https://www.imdb.com/title/tt4054654/?ref_=nm_flmg_act_22,Dog Eat Dog (2016),A crew of ex-cons are hired by a Cleveland mafioso to kidnap the baby of a rival mobster.,4.6
1543444882-123,https://www.imdb.com/name/nm0000115/,Trapped in Paradise,https://www.imdb.com/title/tt0111477/?ref_=nm_flmg_act_73,Trapped in Paradise (1994),Residents of a friendly Pennsylvania town foil three brothers' plan to rob a bank on Christmas Eve.,5.9
1543445097-193,https://www.imdb.com/name/nm0000115/,The Croods 2,https://www.imdb.com/title/tt2850386/?ref_=nm_flmg_act_3,The Croods 2 (2020),"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",null
1543445067-180,https://www.imdb.com/name/nm0000115/,Inconceivable,https://www.imdb.com/title/tt3481634/?ref_=nm_flmg_act_16,Inconceivable (2017),"A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her.",5.2
1543444912-133,https://www.imdb.com/name/nm0000115/,Gone in Sixty Seconds,https://www.imdb.com/title/tt0187078/?ref_=nm_flmg_act_63,Gone in Sixty Seconds (2000),A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,6.5
1543445033-167,https://www.imdb.com/name/nm0000115/,Rage,https://www.imdb.com/title/tt2401807/?ref_=nm_flmg_act_29,Rage (2014),"When the daughter of a reformed criminal is kidnapped, he rounds up his old crew and seeks his own brand of justice.",5.0
1543445042-170,https://www.imdb.com/name/nm0000115/,Vingança ao Anoitecer,https://www.imdb.com/title/tt1274586/?ref_=nm_flmg_act_26,Vingança ao Anoitecer (2014),"When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.",4.4
